Timestamp(ms),PlayerRotX,PlayerRotY,TargetRotX,TargetRotY,Fired,HitTarget
2351.0,0.0,90.0,NA,NA,TRUE,FALSE
2362.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2374.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2386.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2408.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2420.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2442.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2455.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2476.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2487.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2510.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2522.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2544.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2556.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2983.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2984.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2984.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2985.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2985.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2985.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2986.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2986.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2986.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2987.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2987.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2988.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2988.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2988.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2989.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2989.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2989.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2990.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2990.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2991.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2991.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2991.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2992.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
2992.0,0.0,90.0,-0.53972,101.913752,FALSE,NA,
3004.0,0.0,90.0,-0.53972,101.913752,TRUE,FALSE
3008.0,0.0,90.0,16.489736,104.021645,FALSE,NA,
3015.0,0.0,90.0,16.489736,104.021645,FALSE,NA,
3039.0,0.0,90.0,16.489736,104.021645,FALSE,NA,
3051.0,0.0,90.0,16.489736,104.021645,FALSE,NA,
3062.0,0.0,90.0,16.489736,104.021645,FALSE,NA,
3082.0,0.0,90.0,16.489736,104.021645,FALSE,NA,
3095.0,0.0,90.0,16.489736,104.021645,FALSE,NA,
3114.0,0.0,90.0,16.489736,104.021645,FALSE,NA,
3128.0,0.0,90.0,16.489736,104.021645,FALSE,NA,
3149.0,0.0,90.0,16.489736,104.021645,FALSE,NA,
3161.0,0.0,90.0,16.489736,104.021645,FALSE,NA,
3183.0,0.0,90.0,16.489736,104.021645,FALSE,NA,
3195.0,0.0,90.0,16.489736,104.021645,FALSE,NA,
3214.0,0.0,90.0,16.489736,104.021645,FALSE,NA,
3226.0,0.0,90.0,16.489736,104.021645,FALSE,NA,
3247.0,0.0,90.0,16.489736,104.021645,FALSE,NA,
3259.0,0.0,90.0,16.489736,104.021645,TRUE,FALSE
3260.0,0.0,90.0,-0.456634,95.253718,FALSE,NA,
3281.0,0.0,90.0,-0.456634,95.253718,FALSE,NA,
3292.0,0.0,90.0,-0.456634,95.253718,FALSE,NA,
3318.0,0.0,90.0,-0.456634,95.253718,FALSE,NA,
3330.0,0.0,90.0,-0.456634,95.253718,FALSE,NA,
3342.0,0.0,90.0,-0.456634,95.253718,FALSE,NA,
3362.0,0.0,90.0,-0.456634,95.253718,FALSE,NA,
3384.0,0.0,90.0,-0.456634,95.253718,FALSE,NA,
3395.0,0.0,90.0,-0.456634,95.253718,FALSE,NA,
3416.0,0.0,90.0,-0.456634,95.253718,FALSE,NA,
3430.0,0.0,90.0,-0.456634,95.253718,TRUE,FALSE
3431.0,0.0,90.0,9.052535,104.40202,FALSE,NA,
3449.0,0.0,90.0,9.052535,104.40202,FALSE,NA,
3462.0,0.0,90.0,9.052535,104.40202,FALSE,NA,
3483.0,0.0,90.0,9.052535,104.40202,FALSE,NA,
3495.0,0.0,90.0,9.052535,104.40202,FALSE,NA,
3517.0,0.0,90.0,9.052535,104.40202,FALSE,NA,
3529.0,0.0,90.0,9.052535,104.40202,FALSE,NA,
3549.0,0.0,90.0,9.052535,104.40202,FALSE,NA,
3561.0,0.0,90.0,9.052535,104.40202,FALSE,NA,
3581.0,0.0,90.0,9.052535,104.40202,FALSE,NA,
3594.0,0.0,90.0,9.052535,104.40202,TRUE,FALSE
3595.0,0.0,90.0,-1.700798,71.488735,FALSE,NA,
3615.0,0.0,90.0,-1.700798,71.488735,FALSE,NA,
3628.0,0.0,90.0,-1.700798,71.488735,FALSE,NA,
3650.0,0.0,90.0,-1.700798,71.488735,FALSE,NA,
3663.0,0.0,90.0,-1.700798,71.488735,FALSE,NA,
3676.0,0.0,90.0,-1.700798,71.488735,FALSE,NA,
3697.0,0.0,90.0,-1.700798,71.488735,FALSE,NA,
3710.0,0.0,90.0,-1.700798,71.488735,FALSE,NA,
3731.0,0.0,90.0,-1.700798,71.488735,TRUE,FALSE
3732.0,0.0,90.0,9.591324,114.167306,FALSE,NA,
3743.0,0.0,90.0,9.591324,114.167306,FALSE,NA,
3765.0,0.0,90.0,9.591324,114.167306,FALSE,NA,
3777.0,0.0,90.0,9.591324,114.167306,FALSE,NA,
