Timestamp(ms),PlayerRotX,PlayerRotY,TargetRotX,TargetRotY,Fired,HitTarget
2660.0,0.0,90.0,NA,NA,TRUE,FALSE
2669.0,0.0,90.0,9.673729,105.217508,FALSE,NA,
2679.0,0.0,90.0,9.673729,105.217508,FALSE,NA,
2699.0,0.0,90.0,9.673729,105.217508,FALSE,NA,
2711.0,0.0,90.0,9.673729,105.217508,FALSE,NA,
2732.0,0.0,90.0,9.673729,105.217508,FALSE,NA,
2744.0,0.0,90.0,9.673729,105.217508,FALSE,NA,
2765.0,0.0,90.0,9.673729,105.217508,FALSE,NA,
2786.0,0.0,90.0,9.673729,105.217508,FALSE,NA,
2797.0,0.0,90.0,9.673729,105.217508,FALSE,NA,
2818.0,0.0,90.0,9.673729,105.217508,FALSE,NA,
2828.0,0.0,90.0,9.673729,105.217508,FALSE,NA,
2849.0,0.0,90.0,9.673729,105.217508,FALSE,NA,
2860.0,0.0,90.0,9.673729,105.217508,FALSE,NA,
2881.0,0.0,90.0,9.673729,105.217508,FALSE,NA,
2901.0,0.0,90.0,9.673729,105.217508,FALSE,NA,
2912.0,0.0,90.0,9.673729,105.217508,FALSE,NA,
2933.0,0.0,90.0,9.673729,105.217508,FALSE,NA,
2943.0,0.0,90.0,9.673729,105.217508,FALSE,NA,
2965.0,0.0,90.0,9.673729,105.217508,FALSE,NA,
2976.0,0.0,90.0,9.673729,105.217508,FALSE,NA,
2998.0,0.0,90.0,9.673729,105.217508,FALSE,NA,
3011.0,0.0,90.349968,9.673401,105.224882,FALSE,NA,
3030.0,0.0,90.349968,9.673401,105.224882,FALSE,NA,
3052.0,0.0,90.349968,9.673401,105.224882,FALSE,NA,
3064.0,0.0,90.349968,9.673401,105.224882,FALSE,NA,
3083.0,0.524948,91.049896,9.672766,105.239664,FALSE,NA,
3095.0,0.524948,91.049896,9.672766,105.239664,FALSE,NA,
3118.0,1.224878,91.924812,9.672014,105.258203,FALSE,NA,
3127.0,1.224878,91.924812,9.672014,105.258203,FALSE,NA,
3148.0,2.274773,93.149689,9.671039,105.284264,FALSE,NA,
3160.0,2.274773,93.149689,9.671039,105.284264,FALSE,NA,
3180.0,2.274773,93.149689,9.671039,105.284264,FALSE,NA,
3202.0,2.274773,93.149689,9.671039,105.284264,FALSE,NA,
3211.0,2.274773,93.149689,9.671039,105.284264,FALSE,NA,
3234.0,2.274773,94.724533,9.669918,105.317938,FALSE,NA,
3245.0,1.574843,94.724533,9.669918,105.317938,FALSE,NA,
3265.0,1.574843,96.474358,9.668849,105.355548,FALSE,NA,
3284.0,-0.174988,96.474358,9.668849,105.355548,FALSE,NA,
3295.0,-0.174988,97.349274,9.668385,105.37442,FALSE,NA,
3316.0,-1.57486,97.349274,9.668385,105.37442,FALSE,NA,
3327.0,-1.57486,98.22419,9.667967,105.393331,FALSE,NA,
3349.0,-2.974731,98.39917,9.667889,105.397117,FALSE,NA,
3367.0,-3.499664,98.39917,9.667889,105.397117,FALSE,NA,
3379.0,-3.499664,98.39917,9.667889,105.397117,FALSE,NA,
3399.0,-3.84964,98.39917,9.667889,105.397117,FALSE,NA,
3421.0,-3.84964,97.524254,9.668298,105.378199,FALSE,NA,
3433.0,-4.374573,97.524254,9.668298,105.378199,FALSE,NA,
3452.0,-5.074493,96.649338,9.668753,105.359319,FALSE,NA,
3463.0,-5.074493,96.649338,9.668753,105.359319,FALSE,NA,
3483.0,-5.074493,95.949409,9.66915,105.344246,FALSE,NA,
3495.0,-5.074493,95.949409,9.66915,105.344246,FALSE,NA,
3515.0,-5.074493,93.674637,9.670648,105.295469,FALSE,NA,
3537.0,-5.074493,92.974709,9.671172,105.280533,FALSE,NA,
3548.0,-4.899506,92.974709,9.671172,105.280533,FALSE,NA,
3567.0,-4.899506,92.974709,9.671172,105.280533,FALSE,NA,
3578.0,-4.899506,92.974709,9.671172,105.280533,FALSE,NA,
3599.0,-4.899506,92.974709,9.671172,105.280533,FALSE,NA,
3610.0,-4.899506,92.974709,9.671172,105.280533,FALSE,NA,
3632.0,-4.899506,92.974709,9.671172,105.280533,FALSE,NA,
3650.0,-4.899506,92.974709,9.671172,105.280533,FALSE,NA,
3662.0,-4.899506,92.974709,9.671172,105.280533,FALSE,NA,
3682.0,-4.899506,92.974709,9.671172,105.280533,FALSE,NA,
3693.0,-4.899506,92.974709,9.671172,105.280533,FALSE,NA,
3717.0,-4.899506,92.974709,9.671172,105.280533,FALSE,NA,
3726.0,-4.899506,92.974709,9.671172,105.280533,FALSE,NA,
3746.0,-4.899506,92.974709,9.671172,105.280533,FALSE,NA,
3767.0,-4.899506,92.974709,9.671172,105.280533,FALSE,NA,
3777.0,-4.899506,92.974709,9.671172,105.280533,FALSE,NA,
3798.0,-4.899506,92.974709,9.671172,105.280533,FALSE,NA,
3819.0,-4.899506,92.974709,9.671172,105.280533,FALSE,NA,
3829.0,-4.899506,92.974709,9.671172,105.280533,FALSE,NA,
3849.0,-4.899506,92.974709,9.671172,105.280533,FALSE,NA,
3860.0,-4.899506,92.974709,9.671172,105.280533,FALSE,NA,
