Timestamp(ms),PlayerRotX,PlayerRotY,TargetRotX,TargetRotY,Fired,HitTarget
5046.0,2.099806,88.25016,NA,NA,TRUE,FALSE
5054.0,2.099806,88.25016,2.083023,65.229126,FALSE,NA,
5062.0,2.099806,88.25016,2.083023,65.229126,FALSE,NA,
5078.0,2.099806,88.25016,2.083023,65.229126,FALSE,NA,
5096.0,2.099806,88.25016,2.083023,65.229126,FALSE,NA,
5112.0,2.099806,88.25016,2.083023,65.229126,FALSE,NA,
5129.0,2.099806,88.25016,2.083023,65.229126,FALSE,NA,
5144.0,2.099806,88.25016,2.083023,65.229126,FALSE,NA,
5161.0,2.099806,88.25016,2.083023,65.229126,FALSE,NA,
5178.0,2.099806,88.25016,2.083023,65.229126,FALSE,NA,
5195.0,2.099806,88.25016,2.083023,65.229126,FALSE,NA,
5212.0,2.099806,88.25016,2.083023,65.229126,FALSE,NA,
5229.0,2.099806,88.25016,2.083023,65.229126,FALSE,NA,
5245.0,2.099806,88.25016,2.083023,65.229126,FALSE,NA,
5262.0,2.099806,88.25016,2.083023,65.229126,FALSE,NA,
5279.0,2.099806,89.125076,2.083283,65.245606,FALSE,NA,
5295.0,3.324683,89.125076,2.083283,65.245606,FALSE,NA,
5312.0,3.324683,89.125076,2.083283,65.245606,FALSE,NA,
5328.0,3.324683,91.749817,2.084116,65.294391,FALSE,NA,
5345.0,6.124404,91.749817,2.084116,65.294391,FALSE,NA,
5361.0,6.124404,93.324661,2.084654,65.32316,FALSE,NA,
5378.0,6.999316,93.324661,2.084654,65.32316,FALSE,NA,
5395.0,6.999316,93.324661,2.084654,65.32316,FALSE,NA,
5411.0,6.999316,95.424454,2.085415,65.360888,FALSE,NA,
5429.0,7.699246,95.424454,2.085415,65.360888,FALSE,NA,
5445.0,7.699246,95.424454,2.085415,65.360888,FALSE,NA,
5462.0,7.699246,95.424454,2.085415,65.360888,FALSE,NA,
5479.0,7.699246,101.373856,2.087838,65.463476,FALSE,NA,
5496.0,9.099107,101.373856,2.087838,65.463476,FALSE,NA,
5512.0,9.099107,101.373856,2.087838,65.463476,FALSE,NA,
5529.0,9.099107,109.773018,2.091891,65.595807,FALSE,NA,
5546.0,9.624054,109.773018,2.091891,65.595807,FALSE,NA,
5561.0,9.624054,109.773018,2.091891,65.595807,FALSE,NA,
5578.0,9.624054,112.397758,2.093299,65.633769,FALSE,NA,
5595.0,9.624054,112.397758,2.093299,65.633769,FALSE,NA,
5612.0,9.624054,112.397758,2.093299,65.633769,FALSE,NA,
5629.0,9.624054,112.572739,2.093395,65.636238,FALSE,NA,
5646.0,9.624054,112.572739,2.093395,65.636238,FALSE,NA,
5662.0,9.624054,112.572739,2.093395,65.636238,FALSE,NA,
5679.0,9.624054,112.572739,2.093395,65.636238,FALSE,NA,
5696.0,9.624054,112.572739,2.093395,65.636238,FALSE,NA,
5712.0,9.624054,112.572739,2.093395,65.636238,FALSE,NA,
