Timestamp(ms),PlayerRotX,PlayerRotY,TargetRotX,TargetRotY,Fired,HitTarget
3614.0,7.699337,11.957781,12.401762,79.773091,FALSE,NA,
3625.0,7.699337,11.957781,12.401762,79.773091,FALSE,NA,
3646.0,6.299477,16.682308,12.381373,79.817475,FALSE,NA,
3658.0,6.299477,16.682308,12.381373,79.817475,FALSE,NA,
3679.0,4.549652,24.906487,12.348069,79.912876,FALSE,NA,
3699.0,4.549652,34.355541,12.313918,80.048535,FALSE,NA,
3711.0,2.274879,34.355541,12.313918,80.048535,FALSE,NA,
3731.0,2.274879,34.355541,12.313918,80.048535,FALSE,NA,
3743.0,2.274879,39.954983,12.296074,80.140632,FALSE,NA,
3764.0,2.099896,45.904388,12.279269,80.24685,FALSE,NA,
3776.0,1.574949,45.904388,12.279269,80.24685,FALSE,NA,
3797.0,1.574949,53.953583,12.260333,80.402309,FALSE,NA,
3819.0,0.525054,53.953583,12.260333,80.402309,FALSE,NA,
3831.0,0.525054,60.777901,12.247908,80.542703,FALSE,NA,
3851.0,0.175089,68.477127,12.238083,80.70806,FALSE,NA,
3862.0,0.175089,68.477127,12.238083,80.70806,FALSE,NA,
3881.0,0.175089,74.251549,12.233717,80.835305,FALSE,NA,
3894.0,0.000106,74.251549,12.233717,80.835305,FALSE,NA,
3914.0,0.000106,76.176353,12.232841,80.878096,FALSE,NA,
3924.0,-0.524841,76.176353,12.232841,80.878096,FALSE,NA,
3946.0,-0.524841,76.526321,12.232713,80.88589,FALSE,NA,
3969.0,-0.699829,76.526321,12.232713,80.88589,FALSE,NA,
3980.0,-0.699829,76.526321,12.232713,80.88589,FALSE,NA,
4001.0,-0.699829,76.526321,12.232713,80.88589,FALSE,NA,
4011.0,-0.699829,77.576218,12.232387,80.909291,FALSE,NA,
4032.0,-0.699829,77.576218,12.232387,80.909291,FALSE,NA,
4045.0,-0.699829,77.751198,12.232342,80.913194,FALSE,NA,
4066.0,-0.699829,77.751198,12.232342,80.913194,FALSE,NA,
4076.0,-0.699829,77.751198,12.232342,80.913194,FALSE,NA,
4098.0,-0.699829,77.751198,12.232342,80.913194,FALSE,NA,
4110.0,-0.699829,77.926178,12.232298,80.917097,FALSE,NA,
4130.0,-0.874817,77.926178,12.232298,80.917097,FALSE,NA,
4141.0,-0.874817,77.926178,12.232298,80.917097,FALSE,NA,
4164.0,-0.874817,77.926178,12.232298,80.917097,FALSE,NA,
4185.0,-1.924713,78.451126,12.232182,80.928811,FALSE,NA,
4196.0,-1.924713,78.451126,12.232182,80.928811,FALSE,NA,
4214.0,-1.924713,78.451126,12.232182,80.928811,FALSE,NA,
4226.0,-1.924713,78.451126,12.232182,80.928811,FALSE,NA,
4247.0,-2.974609,78.976074,12.232088,80.940528,FALSE,NA,
4258.0,-2.974609,78.976074,12.232088,80.940528,FALSE,NA,
4279.0,-2.974609,78.976074,12.232088,80.940528,FALSE,NA,
4300.0,-2.974609,79.151054,12.232062,80.944435,FALSE,NA,
4310.0,-3.149597,79.151054,12.232062,80.944435,FALSE,NA,
4330.0,-3.149597,79.151054,12.232062,80.944435,FALSE,NA,
4342.0,-3.149597,79.151054,12.232062,80.944435,FALSE,NA,
4363.0,-3.149597,79.326035,12.232038,80.948342,FALSE,NA,
4384.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4395.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4415.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
4426.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
